Q1_Vehicle_Year,Q2_Vehicle_Brand,Q3_Aesthetic_Style,Q4_Friction_Wobble,Q4_Friction_Aesthetic,Q4_Friction_Block,Q4_Friction_Degradation,Q5_Rattle_Severity_Scale,Q6_Module_MagSafe,Q6_Module_BeverageLock,Q6_Module_BagHook,Q6_Module_Telemetry,Q6_Module_Tray,Q7_Primary_Concern,Q8_Price_Too_Cheap,Q9_Price_Bargain,Q10_Price_Expensive,Q11_Price_Too_Expensive,Q12_Reserve_Slot_Intent,Q13_Vehicle_Text,Segment
2020,Land Rover,The Purist,1,1,0,0,4,0,1,1,0,0,The Dash Fit,98,113,150,312,1,Land Rover Defender 110,Family_WorkMom
2018,Toyota,The Purist,0,0,0,1,4,1,1,1,0,1,The Dash Fit,28,50,113,133,0,Toyota Corolla Cross,Practical_Upgrader
2025,Mercedes-Benz,The Purist,1,0,1,1,2,1,0,0,0,0,The Rigidity,43,135,243,404,0,Mercedes GLE 53 AMG,Tech_Purist
2025,Tesla,The Purist,0,1,1,1,5,1,0,0,1,1,The Rigidity,117,138,292,317,1,Tesla Model X,Tech_Purist
2025,Porsche,The Enthusiast/Builder,1,0,0,0,4,1,0,0,1,0,The Dash Fit,113,140,305,431,1,Porsche Taycan Turbo,Elite_Enthusiast
2024,Mercedes-Benz,The Purist,1,1,1,0,4,1,1,1,0,1,The Footprint,122,142,172,418,1,Mercedes EQS 580,Elite_Enthusiast
2024,BMW,The Functionalist,1,1,0,1,5,1,0,0,1,1,The Rigidity,103,171,432,508,1,BMW X5 M,Elite_Enthusiast
2021,Kia,The Functionalist,1,1,0,1,2,1,0,0,0,0,The Rigidity,27,37,92,202,0,Kia Sonet GT Line,Practical_Upgrader
2022,Tesla,The Purist,0,1,1,0,4,1,0,0,0,1,The Rigidity,59,135,277,302,1,Tesla Model 3 Long Range,Tech_Purist
2023,BMW,The Purist,0,0,0,0,1,1,0,0,1,1,The Dash Fit,80,219,244,269,0,BMW M3 Competition,Tech_Purist
2021,Porsche,The Enthusiast/Builder,1,1,1,0,5,1,1,0,0,0,The Footprint,88,108,330,510,1,Porsche 911 Carrera S,Elite_Enthusiast
2023,Toyota,The Functionalist,1,1,1,0,3,1,0,0,0,1,The Footprint,54,64,112,132,1,Toyota Fortuner,Practical_Upgrader
2022,Volkswagen,The Functionalist,0,0,1,1,4,1,0,0,1,0,The Dash Fit,29,39,93,135,0,VW Virtus GT,Practical_Upgrader
2019,Porsche,The Enthusiast/Builder,1,1,0,0,3,1,0,0,0,0,The Dash Fit,98,136,306,403,1,Porsche 911 Carrera S,Elite_Enthusiast
2024,BMW,The Enthusiast/Builder,1,1,0,1,5,1,0,1,1,1,The Rigidity,81,168,302,560,1,BMW M3 Competition,Elite_Enthusiast
2026,BMW,The Enthusiast/Builder,1,1,1,1,5,1,0,0,1,0,The Rigidity,86,147,283,359,1,BMW M3 Competition,Elite_Enthusiast
2020,Land Rover,The Purist,1,1,1,1,4,1,1,1,0,0,The Interaction,48,200,220,271,1,Range Rover Sport HSE,Family_WorkMom
2022,Audi,The Functionalist,1,1,1,1,4,0,1,0,0,1,The Dash Fit,47,100,178,329,1,Audi R8 V10,Family_WorkMom
2025,Tesla,The Functionalist,0,0,1,1,4,1,1,1,0,1,The Interaction,30,158,249,274,0,Tesla Model X,Family_WorkMom
2018,BMW,The Purist,0,0,1,1,5,0,1,0,0,0,The Dash Fit,30,78,184,500,0,BMW M3 Competition,Family_WorkMom
2024,Mercedes-Benz,The Purist,0,1,0,0,4,1,0,0,0,0,The Interaction,78,98,198,359,1,Mercedes EQS 580,Tech_Purist
2022,Audi,The Enthusiast/Builder,1,1,1,1,5,0,0,0,1,1,The Rigidity,97,117,287,359,1,Audi Q8 e-tron,Elite_Enthusiast
2025,Ford,The Purist,0,0,0,0,5,1,0,0,0,0,The Dash Fit,37,120,262,401,1,Ford Raptor R,Family_WorkMom
2026,Tesla,The Functionalist,1,0,1,1,3,1,1,1,1,0,The Dash Fit,66,92,257,333,1,Tesla Model 3 Long Range,Family_WorkMom
2025,Land Rover,The Functionalist,1,0,1,1,3,1,1,1,0,1,The Footprint,57,88,168,306,0,Range Rover Sport HSE,Family_WorkMom
2023,Tesla,The Purist,1,1,0,0,3,1,0,0,0,1,The Footprint,138,158,203,284,1,Tesla Model S Plaid,Tech_Purist
2025,Audi,The Functionalist,1,1,1,1,5,1,1,0,1,0,The Dash Fit,77,280,310,585,1,Audi RS6 Avant,Elite_Enthusiast
2024,Other,The Purist,0,1,1,0,3,1,0,1,0,1,The Dash Fit,47,120,264,289,0,Genesis GV80,Family_WorkMom
2023,Tesla,The Purist,1,1,1,0,4,0,0,1,0,1,The Footprint,55,220,328,462,1,Tesla Model S Plaid,Tech_Purist
2025,Audi,The Enthusiast/Builder,1,1,0,0,5,1,0,0,1,0,The Rigidity,113,188,450,480,1,Audi RS6 Avant,Elite_Enthusiast
2020,Tesla,The Purist,1,1,1,1,3,1,0,0,0,1,The Footprint,79,99,191,254,0,Tesla Model X,Tech_Purist
2023,Audi,The Enthusiast/Builder,1,1,0,0,5,1,1,0,1,0,The Footprint,131,151,264,294,1,Audi Q8 e-tron,Elite_Enthusiast
2021,BMW,The Purist,1,1,1,1,3,1,1,0,1,0,The Footprint,70,141,450,502,1,BMW X5 M,Elite_Enthusiast
2015,Nissan,The Functionalist,0,0,0,1,2,0,0,0,0,1,The Dash Fit,25,83,100,150,0,Nissan X-Trail,Practical_Upgrader
2014,Hyundai,The Functionalist,1,0,1,1,4,1,0,0,0,1,The Rigidity,23,44,77,150,0,Hyundai i20 Sportz,Practical_Upgrader
2019,Honda,The Functionalist,0,1,0,0,2,1,1,0,0,1,The Footprint,33,95,111,131,0,Honda City ZX,Practical_Upgrader
2021,Tesla,The Functionalist,1,0,0,1,3,1,0,1,0,1,The Dash Fit,59,74,142,224,0,Tesla Model X,Family_WorkMom
2024,Porsche,The Functionalist,0,0,1,0,5,0,0,0,0,0,The Rigidity,73,108,317,347,1,Porsche Cayman 718 GT4,Elite_Enthusiast
2021,Tesla,The Purist,0,1,0,0,3,1,0,1,1,0,The Rigidity,74,240,265,335,1,Tesla Model 3 Long Range,Tech_Purist
2021,Land Rover,The Functionalist,1,0,0,1,5,1,1,1,0,0,The Dash Fit,30,98,250,384,1,Land Rover Discovery 5,Family_WorkMom
2023,Mercedes-Benz,The Enthusiast/Builder,0,1,0,1,5,1,1,0,1,0,The Rigidity,92,214,450,700,1,Mercedes GLE 53 AMG,Elite_Enthusiast
2024,Jeep,The Enthusiast/Builder,0,0,1,1,3,1,1,1,0,1,The Dash Fit,45,66,173,214,0,Jeep Wrangler Rubicon 4xe,Family_WorkMom
2022,BMW,The Enthusiast/Builder,1,1,0,1,2,0,0,1,0,1,The Dash Fit,103,123,292,573,1,BMW 5 Series xDrive,Elite_Enthusiast
2019,Toyota,The Functionalist,0,1,0,1,4,1,1,0,0,0,The Dash Fit,32,45,141,161,0,Toyota Fortuner,Practical_Upgrader
2025,Audi,The Purist,0,0,0,0,4,1,1,1,0,1,The Dash Fit,48,108,201,318,0,Audi RS6 Avant,Family_WorkMom
2024,Audi,The Enthusiast/Builder,0,1,1,0,2,1,0,0,0,0,The Footprint,80,132,219,323,0,Audi A4 S-Line,Tech_Purist
2020,Tesla,The Functionalist,0,1,1,0,4,1,0,1,0,1,The Dash Fit,44,144,164,401,0,Tesla Model X,Family_WorkMom
2018,BMW,The Functionalist,1,1,1,1,1,1,1,1,1,1,The Dash Fit,54,91,248,273,0,BMW 5 Series xDrive,Family_WorkMom
2025,Jeep,The Functionalist,1,1,0,1,5,0,1,1,0,0,The Interaction,68,118,162,359,1,Jeep Wrangler Rubicon 4xe,Family_WorkMom
2019,Porsche,The Enthusiast/Builder,1,1,1,0,3,1,1,0,1,0,The Rigidity,106,232,399,516,1,Porsche Cayman 718 GT4,Elite_Enthusiast
2021,Honda,The Functionalist,0,0,1,0,2,0,0,1,0,0,The Rigidity,23,120,135,197,0,Honda Civic Type R,Practical_Upgrader
2024,BMW,The Purist,1,1,1,0,2,1,0,0,0,1,The Footprint,75,95,235,356,0,BMW 5 Series xDrive,Tech_Purist
2022,Toyota,The Functionalist,0,0,1,0,5,1,0,0,1,0,The Rigidity,48,58,91,111,0,Toyota Fortuner,Practical_Upgrader
2020,Volkswagen,The Functionalist,1,0,0,1,4,1,1,0,0,1,The Rigidity,55,65,109,143,0,VW Taigun GT Plus,Practical_Upgrader
